iso3,gis_name,name_fr,name_sp,color_code,terr_id,terr_name,secondary_territory,status_un,lon,lat
AAA,Abyei,Abiyé,Abyei,AAA,0,Abyei,1,Sovereignty unsettled,28.415,9.7867
XJK,Jammu and Kashmir,Jammu et Cachemire,Jammu y Kashmir,AAA,0,Jammu and Kashmir,1,Sovereignty unsettled,75.794,34.5792
JAM,Jamaica,Jamaïque,Jamaica,JAM,121,Jamaica,0,Member State,-77.3109,18.1564
NIU,Niue,Ile Niue,Niue,NZL,180,Niue,0,NZ Territory,-169.8602,-19.05
LTU,Lithuania,Lituanie,Lituania,LTU,143,Lithuania,0,Member State,23.9045,55.3496
GIB,Gibraltar (GBR),null,null,GBR,92,Gibraltar,1,UK Non-Self-Governing Territory,-5.3476,36.139
CZE,Czech Republic,République tchéque,República Checa,CZE,63,Czech Republic,0,Member State,15.3294,49.7484
ASM,American Samoa (USA),null,null,USA,4,American Samoa,1,US Non-Self-Governing Territory,-170.7187,-14.3059
EST,Estonia,Estonie,Estonia,EST,75,Estonia,0,Member State,25.8413,58.6953
KNA,Saint Kitts and Nevis,Saint-Kitts-et-Nevis,Saint Kitts y Nevis,KNA,205,Saint Kitts and Nevis,0,Member State,-62.7663,17.34
GUM,Guam (USA),null,null,USA,98,Guam,1,US Non-Self-Governing Territory,144.7029,13.3549
ESH,Western Sahara,Sahara occidental,Sáhara Occidental,AAA,266,Western Sahara,1,Non-Self-Governing Territory,-13.1127,24.7073
MDG,Madagascar,Madagascar,Madagascar,MDG,146,Madagascar,0,Member State,46.6792,-19.4805
LKA,Sri Lanka,Sri Lanka,Sri Lanka,LKA,228,Sri Lanka,0,Member State,80.7046,7.6176
GNQ,Equatorial Guinea,Guinée Équatoriale,Guinea Ecuatorial,GNQ,73,Equatorial Guinea,0,Member State,10.4661,1.5661
MKD,North Macedonia,Macédoine du Nord,Macedonia del Norte,MKD,239,The former Yugoslav Republic of Macedonia,0,Member State,21.7016,41.6032
AAA,Ma'tan al-Sarra (EGY),null,null,EGY,0,Ma'tan al-Sarra,1,Sovereignty unsettled,33.688,21.8884
USA,Howland Island (USA),null,null,USA,110,Howland Island,1,US Territory,-176.6403,0.8047
EGY,Egypt,Égypte,Egipto,EGY,71,Egypt,0,Member State,29.7676,26.6641
MLT,Malta,Malte,Malta,MLT,152,Malta,0,Member State,14.4462,35.892
PRI,Puerto Rico (USA),Puerto Rico (USA),Puerto Rico (USA),USA,197,Puerto Rico,1,US Territory,-66.4759,18.2277
MRT,Mauritania,Mauritanie,Mauritania,MRT,155,Mauritania,0,Member State,-10.3191,20.3462
RWA,Rwanda,Rwanda,Rwanda,RWA,203,Rwanda,0,Member State,29.9231,-2
VIR,United States Virgin Islands (USA),null,null,USA,257,United States Virgin Islands,1,US Non-Self-Governing Territory,-64.7721,17.7398
MSR,Montserrat (GBR),Montserrat (GBR),Montserrat (GBR),GBR,165,Montserrat,1,UK Non-Self-Governing Territory,-62.1926,16.7356
TGO,Togo,Togo,Togo,TGO,241,Togo,0,Member State,0.9782,8.5362
AUS,Ashmore and Cartier Islands (AUS),null,null,AUS,13,Ashmore and Cartier Islands,1,AU Territory,122.9683,-12.2739
GRC,Greece,Grèce,Grecia,GRC,94,Greece,0,Member State,22.5973,39.5149
USA,Kingman Reef (USA),null,null,USA,130,Kingman Reef,1,US Territory,-162.5614,6.4785
PRY,Paraguay,Paraguay,Paraguay,PRY,191,Paraguay,0,Member State,-58.3738,-23.2816
SHN,Saint Helena (GBR),null,null,GBR,204,Saint Helena,1,UK Non-Self-Governing Territory,-12.2847,-37.1105
SOM,Somalia,Somalie,Somalia,SOM,223,Somalia,0,Member State,46.2037,4.4065
KIR,Kiribati,Kiribati,Kiribati,KIR,131,Kiribati,0,Member State,-157.5643,1.7688
PSE,Gaza strip (PSE),Bande de Gaza (PSE),Bande de Gaza (PSE),AAA,88,Gaza Strip,1,Gaza,34.3068,31.3235
BRN,Brunei Darussalam,Brunéi Darusalam,Brunei Darussalam,BRN,38,Brunei Darussalam,0,Member State,114.6289,4.4975
BOL,Plurinational State of Bolivia,État Plurinational de Bolivie,Estado Plurinacional de Bolivia,BOL,31,Bolivia,0,Member State,-64.659,-16.7774
